timestamp,asset,regime,atr,volatility,spread,bos,choch,sweep,ob,fvg,trg,decisionTraceId,providers,courtPermission,riskLevel,sizing,result,holdingTimeSec,mfe,mae,opportunityCost,alphaScore
2026-07-24T09:15:04.000Z,BTC/USD,RANGING_CONSOLIDATION,1.1,1.2,0.0001,false,false,true,false,false,0.45,trace_1,{},ALLOW,1,0.001,win,45,0.006,-0.001,0,85
2026-07-24T09:16:04.000Z,BTC/USD,TRENDING_BULLISH,1.1,1.2,0.0001,true,false,true,false,false,0.45,trace_2,{},ALLOW,1,0.001,win,45,0.006,-0.001,0,85
2026-07-24T09:17:04.000Z,BTC/USD,RANGING_CONSOLIDATION,1.1,1.2,0.0001,false,false,true,false,false,0.45,trace_3,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:18:04.000Z,BTC/USD,TRENDING_BULLISH,1.1,1.2,0.0001,true,false,true,false,false,0.45,trace_4,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:21:05.000Z,BTC/USD,RANGING_CONSOLIDATION,2.5,1.2,0.0001,false,false,true,false,false,0.45,trace_5,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:22:05.000Z,BTC/USD,TRENDING_BULLISH,1.1,1.2,0.0001,true,false,true,false,false,0.45,trace_6,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:23:05.000Z,BTC/USD,RANGING_CONSOLIDATION,1.1,1.2,0.0001,false,false,true,false,false,0.45,trace_7,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:24:06.000Z,BTC/USD,TRENDING_BULLISH,1.1,1.2,0.0001,true,false,true,false,false,0.45,trace_8,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:26:06.000Z,BTC/USD,RANGING_CONSOLIDATION,1.1,1.2,0.0001,false,false,true,false,false,0.45,trace_9,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:27:06.000Z,BTC/USD,TRENDING_BULLISH,2.5,1.2,0.0001,true,false,true,false,false,0.45,trace_10,{},ALLOW,1,0.001,win,45,0.006,-0.001,0,85
2026-07-24T09:28:07.000Z,BTC/USD,RANGING_CONSOLIDATION,1.1,1.2,0.0001,false,false,true,false,false,0.45,trace_11,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:29:07.000Z,BTC/USD,TRENDING_BULLISH,1.1,1.2,0.0001,true,false,true,false,false,0.45,trace_12,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:42:10.000Z,BTC/USD,RANGING_CONSOLIDATION,1.1,1.2,0.0001,false,false,true,false,false,0.45,trace_13,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:48:11.000Z,BTC/USD,TRENDING_BULLISH,1.1,1.2,0.0001,true,false,true,false,false,0.45,trace_14,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:49:11.000Z,BTC/USD,RANGING_CONSOLIDATION,2.5,1.2,0.0001,false,false,true,false,false,0.45,trace_15,{},ALLOW,1,0.001,win,45,0.006,-0.001,0,85
2026-07-24T09:55:12.000Z,BTC/USD,TRENDING_BULLISH,1.1,1.2,0.0001,true,false,true,false,false,0.45,trace_16,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
2026-07-24T09:56:13.000Z,BTC/USD,RANGING_CONSOLIDATION,1.1,1.2,0.0001,false,false,true,false,false,0.45,trace_17,{},ALLOW,1,0.001,loss,45,0.006,-0.001,0,85
